trade_date,trade_time,open,high,low,close,volume,year,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2016-12-12,08:00:00,1158.66,1158.78,1155.34,1155.7,15717,2016,50,1187.93,1156.16,19.405370843989715,-2.7131228271026084,-0.03978688070855559,BULLISH,0.015574976204902974,0.5537769317296758,0.4923423033659301
2016-12-12,12:00:00,1155.71,1156.81,1151.14,1155.88,20419,2016,50,1187.93,1156.16,11.38840070298781,-2.6979704191324365,-0.02421810130085565,BULLISH,0.31923729106826204,0.6064643388587042,0.19638716821815255
2017-02-27,16:00:00,1255.1,1260.02,1253.72,1259.69,21872,2017,9,1260.05,1226.04,85.99813722446399,-0.028570294829562318,2.744608658771336,BEARISH,-0.36119997777230545,-0.5421968897109729,-0.17623383530868922
2017-03-03,16:00:00,1227.16,1231.7,1224.84,1225.34,23024,2017,9,1260.05,1226.04,18.90808143121545,-2.7546525931510684,-0.057094385175038787,BULLISH,0.741018819266502,0.699397718184354,0.2856350074265102
2017-04-04,12:00:00,1257.74,1260.6,1257.07,1260.08,10106,2017,14,1260.97,1239.61,84.93353028064885,-0.07058058478790931,1.6513258202176515,BEARISH,-0.3801345946289096,-0.3650561869087605,-0.6047235096184284
2017-05-26,16:00:00,1265.59,1268.04,1264.28,1266.08,21665,2017,21,1265.0,1226.9,81.79621425694668,0.08537549407114049,3.1934142961936454,BEARISH,0.06792619739669906,-0.004739037027671666,0.12163528371034718
2017-05-29,00:00:00,1267.29,1269.1,1267.0,1268.25,2770,2017,22,1269.39,1247.85,86.24629707998314,-0.08980691513247308,1.6348118764274628,BEARISH,-0.17583284052828846,-0.10959984230239307,-0.11748472304356468
2017-06-12,16:00:00,1268.64,1268.73,1263.51,1265.53,21861,2017,24,1296.01,1264.57,18.224592220828455,-2.351833704986846,0.07591513320733818,BULLISH,-0.03713859015590522,0.06953608369616754,-0.2086082510884667
2017-06-12,20:00:00,1265.52,1267.64,1264.98,1265.06,12435,2017,24,1296.01,1264.57,19.522849462365883,-2.388098857261907,0.03874834924124478,BULLISH,0.005533334387314729,-0.09248573190203195,0.1264762145669088
2017-06-13,08:00:00,1266.38,1266.7,1263.46,1263.89,7322,2017,24,1296.01,1264.57,17.527450183002415,-2.4783759384572566,-0.053773219355182894,BULLISH,0.01107691333896721,0.21916464249262052,0.24131846917057292
2017-06-19,12:00:00,1250.07,1251.93,1249.76,1250.64,8287,2017,25,1280.85,1251.36,16.815406294034617,-2.358589998828888,-0.05753739930953523,BULLISH,-0.21189151154609567,-0.5533167018486593,-0.4589650099149242
2017-07-18,00:00:00,1233.56,1234.95,1232.76,1232.8,3476,2017,29,1232.77,1204.81,83.37813620071663,0.0024335439700814195,2.3231878885467427,BEARISH,0.34879948085658297,0.3950356911096787,0.7973718364698373
2017-07-24,12:00:00,1253.76,1257.81,1253.14,1255.95,10392,2017,30,1255.63,1228.19,82.28834573149186,0.025485214593465935,2.2602366083423564,BEARISH,-0.008758310442304814,-0.18870177952944928,-0.4673752936024617
2017-07-24,16:00:00,1255.95,1258.74,1254.52,1255.84,14711,2017,30,1255.63,1228.19,82.84593437945794,0.016724672076950137,2.2512803393611622,BEARISH,-0.07325773983945769,-0.07086890049686845,-0.36628869919734275
2017-07-24,20:00:00,1255.79,1255.86,1253.61,1254.92,8195,2017,30,1255.63,1228.19,80.26952315134801,-0.056545319879266684,2.176373362427639,BEARISH,-0.10677971504160785,-0.08048321805373974,-0.34583877856756967
2017-09-12,00:00:00,1327.47,1329.06,1326.59,1327.23,5013,2017,37,1357.42,1326.22,19.80410162228347,-2.2240721368478473,0.0761562938275694,BULLISH,-0.16123806725285744,-0.1311001107569908,0.2704881595503355
